NIFTY 20,NIFTY 50,NIFTY NEXT 50,NIFTY 200,NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDSMALLCAP 400,NIFTY TOTAL MARKET,NIFTY 200 cv,NSC ALL,BSE ALL
,,,,,,AAVAS,PARADEEP,,BALAMINES,TEXRAIL
,,,,,,MEDANTA,TVSMOTOR,,BALAXI,ADORMUL
,,,,,,LUPIN,IOB,,BALKRISHNA,TOKYOFIN
,,,,,,M&MFIN,MRF,,BALKRISIND,TRINITYLEA
,,,,,,MOTILALOFS,RKFORGE,,BALMLAWRIE,TORNTPHARM
,,,,,,CHOLAHLDNG,JAICORPLTD,,BALPHARMA,TRELCHE-B
,,,,,,FIVESTAR,DATAPATTNS,,BALRAMCHIN,TTIL
,,,,,,FLUOROCHEM,UNOMINDA,,BANARBEADS,TTKHEALTH
,,,,,,SUVENPHAR,RUSTOMJEE,,BANARISUG,TUTIALKA
,,,,,,JBCHEPHARM,GUJGASLTD,,BANCOINDIA,ANUPAM
,,,,,,QUESS,DIVISLAB,,BANDHANBNK,VEERHEALTH
,,,,,,ALKEM,DWARKESH,,BANG,VAARAD
,,,,,,DEEPAKNTR,INDIACEM,,BANKA,VISHAL
,,,,,,RCF,MGL,,BANKBARODA,HRYNSHP
,,,,,,WHIRLPOOL,CENTRALBK,,BANKBEES,ZHINUDYP
,,,,,,MFL,JBMA,,BANKINDIA,ICICIMCAP
,,,,,,VOLTAS,HGS,,BANSWRAS,NAGREEKCAP
,,,,,,METROPOLIS,TATACONSUM,,BARBEQUE,PGIL
,,,,,,HOMEFIRST,INDOCO,,BASF,KUMPFIN
,,,,,,GODREJPROP,SKFINDIA,,BASML,POKARNA
,,,,,,SANOFI,LTTS,,BATAINDIA,NATHIND
,,,,,,LALPATHLAB,GMMPFAUDLR,,BAYERCROP,BGWTATO
,,,,,,INDIANB,ACE,,BBETF0432,UNIVSTAR
,,,,,,CARBORUNIV,ICRA,,BBL,HEALINV
,,,,,,FEDERALBNK,OFSS,,BBOX,FRASER
,,,,,,PETRONET,AJANTPHARM,,BBTC,TGVSL
,,,,,,L&TFH,MOLDTKPAC,,BBTCL,SOLIMAC
,,,,,,OIL,ELECTCAST,,BCG,AUBANK
,,,,,,JINDWORLD,PSPPROJECT,,BCLIND,DECIPHER
,,,,,,CENTURYTEX,ADANIENT,,BCONCEPTS,TEXINFRA
,,,,,,NIACL,PRIVISCL,,BCP,ADCON
,,,,,,GODREJIND,NESCO,,BDL,BCCFUBA
,,,,,,TRIVENI,BLUEDART,,BEARDSELL,BLOOM
,,,,,,IDBI,ASTRAMICRO,,BECTORFOOD,FEL
,,,,,,PFIZER,POLICYBZR,,BEDMUTHA,HVL
,,,,,,HINDZINC,VSTTILLERS,,BEL,MAHASTEEL
,,,,,,NUVOCO,JSL,,BEML,MAL
,,,,,,GLAXO,TRIDENT,,BEPL,CAPPL
,,,,,,NATIONALUM,SOMANYCERA,,BERGEPAINT,PUNCTRD
,,,,,,RITES,PGHL,,BESTAGRO,CAPRICORN
,,,,,,SJVN,KFINTECH,,BFINVEST,SKMEGGPROD
,,,,,,MAXHEALTH,GRANULES,,BFUTILITIE,TFLL
,,,,,,360ONE,HDFCAMC,,BGRENERGY,WHBRADY
,,,,,,RAJESHEXPO,SARDAEN,,BHAGCHEM,GMETCOAL
,,,,,,KPRMILL,PRAJIND,,BHAGERIA,DHYAANI
,,,,,,FACT,INDIAGLYCO,,BHAGYANGR,FLORACORP
,,,,,,APLLTD,IDEA,,BHANDARI,HALDYNGL
,,,,,,HONAUT,JPASSOCIAT,,BHARATFORG,GOLDENTOBC
,,,,,,TCIEXP,TATAMTRDVR,,BHARATGEAR,GRANULES
,,,,,,TCNSBRANDS,RBA,,BHARATRAS,OMNIAX
,,,,,,KIMS,VTL,,BHARATWIRE,SCANSTL
,,,,,,LEMONTREE,GESHIP,,BHARTIARTL,PNTKYOR
,,,,,,FINEORG,GLS,,BHEL,HAPPSTMNDS
,,,,,,MPHASIS,MSTCLTD,,BIGBLOC,IBRIGST
,,,,,,SONATSOFTW,EICHERMOT,,BIKAJI,AMBUJACEM
,,,,,,NMDC,AFFLE,,BIL,OLYMPTX
,,,,,,NAM-INDIA,CAPLIPOINT,,BINANIIND,TERRAREAL
,,,,,,LXCHEM,IRCTC,,BINDALAGRO,TRL
,,,,,,BIKAJI,COCHINSHIP,,BIOCON,
,,,,,,VINATIORGA,IOLCP,,BIOFILCHEM,NIESSPG
,,,,,,SHARDACROP,DCBBANK,,BIRLACABLE,TEXMOPIPES
,,,,,,AVANTIFEED,VGUARD,,BIRLACORPN,AUTOAXLES
,,,,,,SUNDARMFIN,BEML,,BIRLAMONEY,CATVISION
,,,,,,IEX,CHOLAFIN,,BLBLIMITED,CRANEX
,,,,,,BLS,PIDILITIND,,BLISSGVS,ENDURANCE
,,,,,,EASEMYTRIP,POLYMED,,BLKASHYAP,INDTONER
,,,,,,GODREJAGRO,MUTHOOTFIN,,BLS,CHCL
,,,,,,REDINGTON,BAJAJHLDNG,,BLUEDART,JAYNECOIND
,,,,,,ABCAPITAL,MAYURUNIQ,,BLUESTARCO,ASALCBR
,,,,,,TATAINVEST,MOREPENLAB,,BODALCHEM,CHEMPLASTS
,,,,,,INDHOTEL,AWL,,BOHRAIND,MPL
,,,,,,JUBLINGREA,DAAWAT,,BOMDYEING,GAGAN
,,,,,,VAIBHAVGBL,MCX,,BOROLTD,SVARTCORP
,,,,,,MAPMYINDIA,SUBEXLTD,,BORORENEW,
,,,,,,KENNAMET,IOC,,BOSCHLTD,PMCFIN
,,,,,,BHEL,PFC,,BPCL,EIHOTEL
,,,,,,GMRINFRA,CIGNITITEC,,BPL,CHOLAFIN
,,,,,,ASAHIINDIA,WESTLIFE,,BRIGADE,KFBL
